0.000000000000000000e+00 4.818899999999999850e-01 4.818899999999999850e-01
1.000000000000000056e-01 4.862500000000000155e-01 4.775300000000000100e-01
2.000000000000000111e-01 4.965800000000000214e-01 4.668200000000000127e-01
3.000000000000000444e-01 5.067899999999999627e-01 4.543400000000000216e-01
4.000000000000000222e-01 5.139299999999999979e-01 4.430899999999999839e-01
5.000000000000000000e-01 5.216699999999999671e-01 4.330300000000000260e-01
6.000000000000000888e-01 5.350500000000000256e-01 4.210099999999999953e-01
7.000000000000000666e-01 5.543700000000000294e-01 4.035400000000000098e-01
8.000000000000000444e-01 5.746599999999999486e-01 3.805700000000000194e-01
9.000000000000000222e-01 5.893300000000000205e-01 3.555699999999999972e-01
1.000000000000000000e+00 5.965599999999999792e-01 3.324900000000000078e-01
1.100000000000000089e+00 6.013300000000000312e-01 3.131900000000000239e-01
1.200000000000000178e+00 6.087500000000000133e-01 2.965200000000000058e-01
1.300000000000000044e+00 6.186500000000000332e-01 2.791500000000000092e-01
1.400000000000000133e+00 6.264100000000000223e-01 2.587499999999999800e-01
1.500000000000000000e+00 6.272900000000000142e-01 2.362799999999999900e-01
1.600000000000000089e+00 6.222100000000000408e-01 2.147300000000000042e-01
1.700000000000000178e+00 6.178799999999999848e-01 1.966400000000000092e-01
1.800000000000000044e+00 6.192400000000000126e-01 1.827799999999999980e-01
1.900000000000000133e+00 6.248099999999999765e-01 1.714400000000000091e-01
2.000000000000000000e+00 6.289000000000000146e-01 1.598499999999999921e-01
2.100000000000000089e+00 6.265899999999999803e-01 1.469199999999999950e-01
2.200000000000000178e+00 6.188900000000000512e-01 1.337399999999999978e-01
2.300000000000000266e+00 6.117399999999999505e-01 1.222799999999999998e-01
2.400000000000000355e+00 6.083499999999999464e-01 1.141299999999999953e-01
2.500000000000000000e+00 6.057900000000000507e-01 1.093500000000000028e-01
2.600000000000000089e+00 5.983199999999999630e-01 1.062000000000000027e-01
2.700000000000000178e+00 5.823899999999999633e-01 1.027499999999999941e-01
2.800000000000000266e+00 5.604900000000000437e-01 9.829999999999999849e-02
2.900000000000000355e+00 5.389399999999999746e-01 9.356000000000000427e-02
3.000000000000000000e+00 5.205100000000000282e-01 8.994900000000000118e-02
3.100000000000000089e+00 5.022100000000000453e-01 8.879499999999999893e-02
3.200000000000000178e+00 4.793100000000000138e-01 9.024600000000000677e-02
3.300000000000000266e+00 4.498400000000000176e-01 9.294499999999999984e-02
3.400000000000000355e+00 4.172199999999999798e-01 9.523299999999999821e-02
3.500000000000000000e+00 3.874000000000000221e-01 9.624399999999999622e-02
3.600000000000000089e+00 3.625499999999999834e-01 9.616299999999999848e-02
3.700000000000000178e+00 3.399099999999999899e-01 9.629799999999999471e-02
3.800000000000000266e+00 3.158900000000000041e-01 9.818899999999999850e-02
3.900000000000000355e+00 2.896400000000000086e-01 1.020599999999999979e-01
4.000000000000000000e+00 2.643499999999999739e-01 1.065900000000000042e-01
4.100000000000000533e+00 2.440700000000000092e-01 1.099399999999999961e-01
4.200000000000000178e+00 2.289299999999999946e-01 1.108699999999999963e-01
4.299999999999999822e+00 2.152799999999999991e-01 1.095499999999999946e-01
